  PID TTY      STAT   TIME COMMAND
    1 ?        Ss     0:01 init [3]  
    2 ?        S      0:00 [kthreadd]
    3 ?        S      0:00 [ksoftirqd/0]
    4 ?        S      0:00 [kworker/0:0]
    5 ?        S<     0:00 [kworker/0:0H]
    6 ?        S      0:00 [kworker/u8:0]
    7 ?        S      0:00 [rcu_sched]
    8 ?        S      0:00 [rcu_bh]
    9 ?        S      0:00 [migration/0]
   10 ?        S      0:00 [migration/1]
   11 ?        S      0:00 [ksoftirqd/1]
   12 ?        S      0:00 [kworker/1:0]
   13 ?        S<     0:00 [kworker/1:0H]
   14 ?        S      0:00 [migration/2]
   15 ?        S      0:00 [ksoftirqd/2]
   17 ?        S<     0:00 [kworker/2:0H]
   18 ?        S      0:00 [migration/3]
   19 ?        S      0:00 [ksoftirqd/3]
   21 ?        S<     0:00 [kworker/3:0H]
   22 ?        S<     0:00 [khelper]
   23 ?        S      0:00 [kdevtmpfs]
   24 ?        S<     0:00 [netns]
   25 ?        S<     0:00 [writeback]
   26 ?        SN     0:00 [khugepaged]
   27 ?        S<     0:00 [kintegrityd]
   28 ?        S<     0:00 [bioset]
   29 ?        S<     0:00 [crypto]
   30 ?        S<     0:00 [kblockd]
   31 ?        S<     0:00 [ata_sff]
   32 ?        S      0:00 [khubd]
   33 ?        S<     0:00 [md]
   34 ?        S<     0:00 [devfreq_wq]
   35 ?        S      0:00 [kworker/3:1]
   36 ?        S<     0:00 [rpciod]
   37 ?        S      0:00 [kworker/0:1]
   38 ?        S      0:00 [kworker/1:1]
   52 ?        S      0:00 [kswapd0]
   53 ?        S      0:00 [fsnotify_mark]
   54 ?        S<     0:00 [nfsiod]
   55 ?        S      0:00 [jfsIO]
   56 ?        S      0:00 [jfsCommit]
   57 ?        S      0:00 [jfsCommit]
   58 ?        S      0:00 [jfsCommit]
   59 ?        S      0:00 [jfsCommit]
   60 ?        S      0:00 [jfsSync]
   61 ?        S<     0:00 [xfsalloc]
   62 ?        S<     0:00 [xfs_mru_cache]
   63 ?        S<     0:00 [xfslogd]
   64 ?        S<     0:00 [ocfs2_wq]
   65 ?        S<     0:00 [user_dlm]
  109 ?        S<     0:00 [kthrotld]
  111 ?        S      0:00 [cciss_scan]
  112 ?        S<     0:00 [fc_exch_workque]
  113 ?        S<     0:00 [fc_rport_eq]
  114 ?        S<     0:00 [fcoethread/0]
  115 ?        S<     0:00 [fcoethread/1]
  116 ?        S<     0:00 [fcoethread/2]
  117 ?        S<     0:00 [fcoethread/3]
  118 ?        S<     0:00 [fnic_event_wq]
  119 ?        S<     0:00 [fnic_fip_q]
  125 ?        S      0:00 [scsi_eh_2]
  126 ?        S<     0:00 [scsi_tmf_2]
  127 ?        S      0:00 [scsi_eh_3]
  128 ?        S<     0:00 [scsi_tmf_3]
